
y	mTm0	 Proton		Deuteron	Pion		Electron
--------------------------------------------------------------------------------------------------------------

-1.7     0.4375     0.619988 +- 0.153906      0.380012 +- 0.181441     0      0  
-1.7     0.4625     0.625301 +- 0.112622      0.374699 +- 0.133802     0      0  
-1.7     0.4875     0.57159 +- 0.0931192      0.42841 +- 0.102544     0      0  
-1.7     0.5125     0.33466 +- 0.0971486      0.66534 +- 0.0769632     0      0  
-1.7     0.5375     0.48968 +- 0.0694935      0.51032 +- 0.0685437     0      0  
-1.7     0.5625     0.573271 +- 0.0553844      0.426729 +- 0.0611309     0      0  
-1.7     0.5875     0.447441 +- 0.0572256      0.50871 +- 0.0547931     0.0438488 +- 0.155238      0  
-1.7     0.6125     0.552236 +- 0.0456339      0.414431 +- 0.0502847     0.0333333 +- 0.151549      0  
-1.7     0.6375     0.522525 +- 0.040582      0.441595 +- 0.0429551     0.0358802 +- 0.127742      0  
-1.7     0.6625     0.459179 +- 0.0406842      0.527829 +- 0.0388288     0.0129922 +- 0.201523      0  
-1.7     0.6875     0.569759 +- 0.0341014      0.405131 +- 0.0382615     0.0251095 +- 0.131271      0  
-1.7     0.7125     0.535272 +- 0.0333167      0.443331 +- 0.0354956     0.0213971 +- 0.135918      0  
-1.7     0.7375     0.549244 +- 0.0320138      0.433426 +- 0.0346649     0.0173307 +- 0.146043      0  
-1.7     0.7625     0.542499 +- 0.0315736      0.441585 +- 0.0338317     0.0159158 +- 0.149598      0  
-1.7     0.7875     0.512017 +- 0.0325642      0.474537 +- 0.0334039     0.0134459 +- 0.164517      0  
-1.7     0.8125     0.479717 +- 0.0330394      0.505106 +- 0.0324734     0.0151777 +- 0.153852      0  
-1.7     0.8375     0.479344 +- 0.0335462      0.506182 +- 0.0329396     0.0144733 +- 0.159871      0  
-1.7     0.8625     0.42778 +- 0.0358178      0.562175 +- 0.0326819     0.0100458 +- 0.196588      0  
-1.7     0.8875     0.372516 +- 0.0384641      0.617546 +- 0.0324311     0.00993779 +- 0.202009      0  
-1.7     0.9125     0.422975 +- 0.036804      0.56818 +- 0.0333357     0.00884537 +- 0.214293      0  
-1.7     0.9375     0.394915 +- 0.0395026      0.601163 +- 0.0343025     0.00392239 +- 0.336262      0  
-1.7     0.9625     0.415485 +- 0.0401268      0.58327 +- 0.035818     0.00124472 +- 0.616585      0  
-1.7     0.9875     0.399441 +- 0.0409186      0.591387 +- 0.035861     0.00917252 +- 0.229302      0  
-1.6     0.2875     0.748108 +- 0.201581      0.251892 +- 0.293984     0      0  
-1.6     0.3125     0.729158 +- 0.0999487      0.270842 +- 0.140591     0      0  
-1.6     0.3375     0.693716 +- 0.0691645      0.174968 +- 0.114706     0.131316 +- 0.129923      0  
-1.6     0.3625     0.688252 +- 0.0490234      0.220649 +- 0.0736212     0.0910994 +- 0.108326      0  
-1.6     0.3875     0.649124 +- 0.0377784      0.262424 +- 0.0519854     0.0884518 +- 0.0831442      0  
-1.6     0.4125     0.584956 +- 0.0288733      0.338489 +- 0.0348806     0.0765552 +- 0.0657779      0  
-1.6     0.4375     0.604401 +- 0.0239224      0.32605 +- 0.0296107     0.069549 +- 0.0575792      0  
